timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752018475313,308,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-39,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,308,0,206
1752018475324,307,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-40,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,307,0,205
1752018475334,320,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-41,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,320,0,216
1752018475343,315,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-42,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,315,0,207
1752018475353,331,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-43,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,331,0,218
1752018475374,313,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-45,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,313,0,206
1752018475363,324,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-44,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,324,0,211
1752018475383,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-46,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,206
1752018475393,312,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-47,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,312,0,208
1752018475403,315,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-48,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,315,0,208
1752018475412,311,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-49,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,311,0,206
1752018475423,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-50,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,207
1752018475433,310,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-51,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,310,0,207
1752018475453,311,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-53,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,311,0,207
1752018475443,323,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-52,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,323,0,217
1752018475463,314,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-54,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,314,0,207
1752018475472,309,API-Login-POST,200,OK,Grupo de ilos 100TPS - -AddProducts 1-55,text,true,,2523,257,100,100,https://dummyjson.com/auth/login,309,0,205
